year,unajusted retail gas price
1929,0.21
1930,0.20
1931,0.17
1932,0.18
1933,0.18
1934,0.19
1935,0.19
1936,0.19
1937,0.20
1938,0.20
1939,0.19
1940,0.18
1941,0.19
1942,0.20
1943,0.21
1944,0.21
1945,0.21
1946,0.21
1947,0.23
1948,0.26
1949,0.27
1950,0.27
1951,0.27
1952,0.27
1953,0.29
1954,0.29
1955,0.29
1956,0.30
1957,0.31
1958,0.30
1959,0.31
1960,0.31
1961,0.31
1962,0.31
1963,0.30
1964,0.30
1965,0.31
1966,0.32
1967,0.33
1968,0.34
1969,0.35
1970,0.36
1971,0.36
1972,0.36
1973,0.39
1974,0.53
1975,0.57
1976,0.59
1977,0.62
1978,0.63
1979,0.86
1980,1.19
1981,1.31
1982,1.22
1983,1.16
1984,1.13
1985,1.12
1986,0.86
1987,0.90
1988,0.90
1989,1.00
1990,1.15
1991,1.14
1992,1.13
1993,1.11
1994,1.11
1995,1.15
1996,1.23
1997,1.23
1998,1.06
1999,1.17
2000,1.51
2001,1.46
2002,1.36
2003,1.59
2004,1.88
2005,2.30
2006,2.59
2007,2.80
2008,3.27
2009,2.35
2010,2.79
2011,3.53
2012,3.64
2013,3.53
2014,3.37
2015,2.45